id,spoiler
46,"""Harry pocketed it"" was the exact phrase in the book. It turns out this phrase was particularly hard to say, with F"
47,"places to see, books to read, urinals to pee in"
48,"""I'm Gonna Be Ready"" by Yolanda Adams"
49,The kitty folders are too childish; the more mature ones are $200 a piece. Add to that the hyster
50,Rodgers earned the role on his talent alone
51,"As it turns out, the first free DLC which included 70 new events, a new main quest line, new building types"
52,"1) Readers wanted to read about it, 2) The show was consistently among the top five series we wrote about in terms of reader"
53,"1. Eat legumes, 2. Eat plant sterols, margarines and spreads, 3. Eat"
54,Pennsylvania
55,sperm whales were found stranded in the shallow area that is not meant for marine wildlife
56,one spouse who's been married before
57,"""Louise the infant koala  a squeaking, wet, grey bundle of fur found on the"
58,"Kili the Senegal parrot has somehow managed to become a master at ""playing dead."""
59,Miley Cyrus
60,"A teacher by the name of Mrs. Thom at Bucklebury Primary School gave the stress-managing worksheet to her year 6 class,"
61,A trick to get unlimited Lucky Eggs and Incense has been discovered by redmondpie.com. You will now be able to obtain
62,"""Men are less concerned about things,"" study author Carl P. Borchgrevink, an associate professor at Michigan State University, tells"
63,Jussie Smollett
64,"If Mr. Trump can't reunify Republican-leaning voters, Mrs. Clinton really could win in a lands"
65,"provide someone else access to your travel information--your phone number, frequent flyer number, and information not only about the flight in question but"
66,"""Delaware loophole""  the unassuming building at 1209 North Orange Street  has become, as the Guardian described"
67,Kevin Hart
68,Ton Of Old HBO Shows
69,"$25,000 per month"
70,"goodbye Sapphire?, new home button and larger camera lens scratched easily using picks that do not damage sapphi"
71,Emmett
72,"Doors open based on who you know, As you build your network of contacts, remember to follow up,"
73,"1. Museum of Modern Art, 2. Metropolitan Museum of Arts, 3. Guggenheim, 4. The"
74,"A dietitian specializing in sports nutrition can provide advice about whether someone like your son can safely switch to a vegan, plant-"
75,"""San Pedro Prison became a tourist attraction, a place where backpackers stayed for weeks and partied with inmates."""
76,a moon
77,"Tokyo, Chicago, Tokyo, Tokyo, To"
78,"The cosmetics company has revealed that theyll be teasing their collaboration on Snapchat, the photo- and video-sharing app that"
79,Mexico City
80,MS Dhoni
81,she had always been slender
82,scissor-cut
83,"she had plastic surgery years ago to make her eyes look ""bigger"" and advance her career"
84,"At 67, it seems like Meryl Streep has stopped aging. Despite her age, Meryl has been looking"
85,"metcon workouts can help you improve your work capacity, making your body more efficient for all those other activities you love doing"
86,Katy Perry
87,The Netherlands
88,"""Still confident...your rubbish comments aint ruining my happiness...thanks to all for the compliments and best"
89,Battlefield 1
90,brand new doormats
91,1. A SINGLE TABLESPOON HAS MORE SUGAR THAN A CHOCOLATE CHIP COOKIE.
92,"Kat Cole, Position: CEO of Cinnabon, Jon D. Rockef"
93,"The 1937 Bugatti Type 57S was found in the garage, amid piles of medical machinery, 1,500 beer steins, thousands"
94,"""I like Donald Trump because he speaks from the heart,"" Malik Obama told The Post from his home in the rural village of Kogel"
95,Peter Pilotto
96,Polycystic ovarian disorder in women and reduced sperm count in men
97,"""Find Donald Trump,"""
98,"Nebraska allocates its electoral college votes not in the usual winner-take-all method, but by congressional district. So a"
99,"promise to ""cancel the Paris Climate Plan."""
100,"1. Adventurous Christmas: Chile, ""Torres del Paine, one of Chiles wondrous sights."""
101,"the latest installments of ""Gears of War"" and ""Battlefield,"" the latest hardware and software will be hyped by"
102,"A new survey says that, not taking into account sleeping time, Thai people spend the majority of their waking hours being completely sedentary"
103,"a new update for the Xbox One version of Terraria has caused a ""serious issue"" that makes the game"
104,raw apple and raw lettuce
105,"John Clark missed the nest, and accidentally stepped on it, ushering a swarm of yellow jackets to come out and"
106,pasta dish
107,"a serious heart condition, and also attributes her two miscarriages to the drinks"
108,"The initial start was to remove sugar from my diet, stop late-night eating and start using the gym membership that I had been paying for for"
109,"a watch and act, Fire authorities in Western Australia say no properties were lost during a bushfire around the town of G"
110,"general angst about the ""Savior Barbie"" complex, where western people go out to save people in poor countries by telling them"
111,"The logic of the drugs war only leads one way: the police get smarter, so the criminals get nastier; things"
112,"the parasite has to steal food from the host, and the host has to suffer as consequence."
113,The original title page. The original title of Stephen Kings short story was ... Rita Hayworth and the
114,Shamus Beaglehole
115,"A new high-tech, controversial law enforcement procedure has some people worried it threatens the privacy of our DNA"
116,Wolverampton
117,he made this stunning colourful igloo
118,"it clocks in at 106 minutes and its cast barely extends beyond the four central actors. Nothing explodes, erupts or"
119,"""Receive a free burger (up to $10 value) with the purchase of an adult entree on Sunday at Ruby Tuesday (RT"
120,Yields on government bonds from all around the world have been plunging thanks to anxious investors buying them for their safety. (B
121,Towels
122,J. Crew
123,"In order to make sure that everyone has a floor  something they cant fall below, that we end poverty once and for"
124,The lack of parents in the films is just an easy way to allow the main characters to grow up
125,Trump's role in the porn is relatively benign and centers around him breaking a bottle of champagne on a Playboy-branded
126,"a watch. In the 1800s cowboys would wear their watches on chains and Levis created this small"""
127,humpback or southern right whale
128,"""Destiny"""
129,"Of course, this could be the first step in a PC-ified home-gaming experience. One in which gamers will intermittently"
130,"The warehouse retailer's 16-year partnership with has expired, and as of June 20 members who had Costco AmEx cards should switch over"
131,online gaming
132,He became the worlds first professional Kim Jong Un impersonator
133,Adam Blake and his colleagues asked the students to first draw the logo from memory (you can see some of their attempts above). Then they
134,lack of Internet access
135,frostbite
136,The rumor that actress Jennifer Lawrence is being cast as Mulan in a Disney reboot
137,"Christine ""Tink"" Newman"
138,used condoms being discarded under beds and women flashing the porter instead of giving a tip
139,"to avoid the tiffs, SRK has blocked all the fans of other stars including Salman Khan."
140,José José
141,$634 billion
142,"The unemployment rate in November fell to 4.6 percent, the lowest in nine years, the Labor Department said earlier this month."
143,"smaller brains (more efficient, not dumber), resistance to diseases, increases in ADHD and blue eyes."
144,very little chance of survival of the foetus and the ladys life would be engendered if it was not ab
145,"I'd disagree. For those concerned about the prospect of a Trump victory, it's been time to panic for a while"
146,"Whale earwax stores all sorts of useful information on the animal's exposure to pollutants and stress levels throughout life, researchers"
147,the temple officials decided to replace all the larger vessels with those of smaller sizes
148,"""No,"" she apparently replied, before pointing at the policeman and adding: ""But he has."""
149,"May 8, at 7 p.m. UK time (2 p.m. Eastern time) and physically June 17"
150,"""Potter"" was the biggest thing that Im ever going to do and Im never going to come close to"
151,The Rock
152,Jackson Vroman
153,"1. Ideas Have Consequences by Richard Weaver, 2. The Road to Serfdom by F.A."
154,researchers from the Massachusetts Institute of Technology (MIT) have developed a prototype imaging system that's able to read pages of
155,"he can cost you time every single day of shooting ... wardrobe issues, not getting out of the trailer, questioning the script every single day"
156,"Kiwi, Almonds, Peaches, Peaches,"
157,potatoes
158,"applying your foundation, blusher and concealer incorrectly"
159,Taran Killam and Jay Pharoah
160,California
161,readers of fiction are more empathetic towards others
162,Katrina Henry
163,"no. Therefore, it doesn't matter if someone's favorite rapper is Kodak Black or Kendrick Lamar"
164,77
165,synaptic pruning
166,"If the IOC does ban Russia, that's enough medals to throw any Olympic predictions seriously out of whack. And many of"
167,Mother's pork loin she defrosted looked just like a penis
168,"1. Dont touch her bump, 2. Dont ask if she has chosen a name, 3."
169,Single Motherhood
170,Liquids
171,"Laws that maintain the legal drinking age at 21 save lives on the road, and protect young people from other hazards of drinking"
172,Oregon
173,bright multi-colored chevron rug
174,ambassadorial
175,"""Dumb and Dumber To"""
176,"So if you see anyone with a golden ribbon, you can now know that it's to help fight children's cancer. Much"
177,"they fell an average of 13.7% that evening. A Minimum Wear AWP BOOM skin, for example, dropped from $21.75 to"
178,canned pumpkin purée and evaporated milk
179,"singing the set's opening number ""Prancer"""
180,bags of cocoa and a bag of sugar
181,paper bag
182,"We should be steaming, stir-frying or even microwaving Brussels to get that perfectly crunchy consistency"
183,Sephora Instant Moisturizer
184,Jimmy Smits
185,"unless Linux rectifies its performance disparity, lack of natively supported control options and impoverished game library, the OS to beat for PC"
186,A defence. A defence against the aural onslaught of modern life and especially the leerer young bucks of the world who
187,rejecting a fans' gift and calling it shit'
188,"5. Beyond Good & Evil 2, 4. Kingdom Hearts 3"
189,"The grinning fool got a bit of a shock when the guard screamed ""Step back from the Queen"
190,The girl was playing hide-and-seek with her friends around 9 p.m. at the Waterside Gardens apartment complex in Brick
191,Laura Bush
192,Michael Brain
193,her voice
194,A fan suddenly reached up from the audience and tried to grab a piece of the 33-year-old performers glutes
195,What the heck does organic mean anyway?
196,Colorado
197,"234,000. This marks the 101st week straight of claims being below 300,000."
198,"""I simply couldnt make enough toys to satiate demand in North America, and needed a break while it boosted capacity at its"
199,that adventure will still have a name at the end of the movie and that name will be Indiana Jones
200,An e-Passport contains an electronic chip.
201,1. The action's going to pick back up in Fall of 1984. So plan accordingly by getting all your friends the correct walkie talk
202,John Slattery
203,The Door
204,"he slowed his vehicle in a tree-covered section of the road. As the Honda Accord kept moving, he climbed"
205,Tulsiram Manere
206,bronze medal
207,counting each small win we make
208,Chicago
209,Sexual Objectification
210,"Nellie Bly, Access to prisons has been vastly curtailed. There is no way to know what truly"
211,french fry
212,a vast chamber where several stalagmites had been deliberately broken
213,she got distracted by her own erotic thoughts.'
214,"Sarah Gailey serves as a shining example of why men should always, always listen to their girlfriends."
215,The simple truth loomed too large
216,Eatsa
217,$4 billion
218,secret phone number 1-999-367-3767
219,colleges
220,"Fadi al Qanbar's sister Shadia, 28, told Palestinian media. ""Allah chose him for this martyrdom"
221,Neither Ben nor Jen will confirm or deny the divorce allegations.
222,A new law banning animal euthanasia is set to take force in Taiwan. It comes almost a year after the shocking suicide
223,"Police arrested four women in North Carolina for allegedly spraying anti-Trump, anti-police, and ""Black Lives Matter"
224,a message to her dad with a wave and sleeping face emoji.
225,Menelik Watson
226,"""Feeling This."""
227,black spandex pants
228,Sombra
229,"He was all whiny last week,"" Barkley said on the Waddle & Silvy show on ESPN Radio on Monday night that"
230,"built personalized crosses for each victim and then proceeded to drive 1,200 miles to Orlando Health Medical Center where he placed the crosses around the"
231,pears
232,Blake McIver
233,"legal to hunt for catfish with pitchforks or spears, in Pennsylvania, beer customers are now able to purchase"
234,his 18-year-old son was one of the victims in a fatal high-speed car wreck
235,"1. Miley Cyrus, 2. Drake, 3. Kim Kardashian, 4. Justin Bieber,"
236,"instead of panicking, the songstress stopped the band and laughed off her mistake declaring: ""S***, wrong words!"""
237,"""I need feminism because I intend on marrying rich and I can't do that if my wife and I are making"
238,a great big belly rub
239,"""In just over 4 minutes, Schumer finds a way to showcase ""The Newsroom's"" snappy dialogue, over-"
240,"""A right triangle has a hypotenuse equal to 10 and an altitude to the hypotenuse equal to 6. Find the area of"
241,The vote has exposed polarization between Scotland and large parts of England who voted to stay and other parts of the U.K.
242,"work, a calling, a deep sense of purpose and positive impact in your role"
243,feeling sorry for himself
244,Rey is in fact Emperor Palpatine
245,Lisa Brown
246,A lot of peopleover 17 milliongot doused in icy water.
247,good circulation and a healthy body
248,"The mark of an Olympic athlete, at least at Rio 2016, seems to be a scattering of perfectly round bruises."
249,"Hamas security forces violently dispersed the protesters, with shots fired in the air to clear the crowds and a number"
250,"It depends on how you define ""sleep,"" but trees do relax their branches at night, which might be a sign of"
251,there will always be exceptions
252,Berlin
253,"the ADB canteen offers scrumptious meals from several Asian cuisines at affordable prices, as well as a bakery that"
254,"Breathing strongly influences physiology and thought processes, including moods. By simply focusing your attention on your breathing, and without doing"
255,A retired police officer who carried a young girl to safety nearly 20 years ago was reunited with her during her college graduation
256,the tab needs to be separated from the chopsticks and then it doubles up as a chopsticks holder.
257,"Egg cartons and plastic ice cube trays make great organizational tools for jewelry, cuff links and other trinkets"
258,An investigation found that Baylor University had mishandled sexual assault accusations against its football players.
259,You can increase the size of your penis  visually. The way you can do it is by losing weight.
260,"He is egotistical, bombastic, and brash. He often lacks nuance in his statements. He insults"
261,it's easy to eat them as a standalone snack or add them to your salads and tea.
262,Ben Bernanke
263,Monday-Thur
264,availability is very limited
265,sleep deprivation
266,Feb. 24
267,"In very small amounts (say, a few teaspoons), and if the blood is free from pathogens (such as the many"
268,handling their money and talking about it with their partners
269,knee replacement surgery
270,"On Wednesday night the Cubs beat the Cleveland Indians, 8-7, in a Game 7 for the ages."
271,"Rule No. 1: Don't, Rule No. 2: Don't, Rule No"
272,"a drink coaster, A Chinese takeout dish folds out to a nice little plate, Some pens"
273,a pet as a surprise present during the silly season can sometimes be a shotgun decision...and the gift isn't always so
274,"""I live inside my own heart, Matt Damon."""
275,"""Her"" made its world premiere at the New York Film Festival on Saturday night, and the Warner Bros. release could factor into the Oscar race"
276,iris coloration
277,A mother hears her dead sons heart beat
278,I was about to become Daenerys Targaryen
279,seventh inning stretch
280,"adding a teaspoon of coconut oil to boiling water with a half-cup of non-fortified white rice, letting it"
281,"They just say ""I love you"" a little differently... and often in the strangest ways possible."
282,"a tiny camera that records people in the bathroom, hotel rooms, and change rooms. Women in particular have been recorded while in the shower or changing"
283,"Today, Forbes released its first-ever ranking of the wealthiest American celebs, giving a peek into the bank accounts of"
284,"Louisville, Kentucky"
285,Alle...
286,"Men, however, just reach behind their neck and yank their shirt off, much less gracefully."
287,white wolf on a gray background
288,lime green
289,Aaron Judge
290,"Thiruvananthapuram, India"
291,crack cocaine
292,"""1. Ecuador  Gabrielle & Michel Therin-Weise/Getty Images Expatriates flock to Ecuador because"
293,"changes to gut bacteria that could fundamentally change our metabolism, affecting a host of bodily systems"
294,"There were many plot twists and updates that gave the newly released ""Beauty and Beast"" a completely different feel from the original"
295,acoustic take on 'Adore You'
296,moral
297,Buffy the Vampire Slayer
298,change your last name
299,"coar, sat, corn syrup, nitrates, nitrates"
300,Peter Facinelli
301,Chris Pratt
302,"CareerCast evaluated 200 professions and rated them on 11 measures of stress, such as the amount of travel required,"
303,"CEO Lawyer Media (TV and radio) Salesperson Surgeon Journalist Police officer Clergyperson Chef Civil servant, "
304,rosemary
305,"1,080"
306,Google
307,"CHILI PEPPERS, Capsaicin, a compound in chilli, Capsaici"
308,Intrepid
309,"""Theres an ideal window for taking sh*ts you guys."", ""Theres an ideal window for taking sh*ts"
310,"University of California, Los Angeles"
311,"The chances that a stranger will abduct and kill or not return a child, the great fear driving the new norm, is about"
312,www.battlefield.com
313,"""Chal Na Katrina"""
314,"Monday, February 24 at 9 p.m."
315,three hours of sleep a night
316,"by watching the trailer for G.B.F., and thats why she invited them on stage to"
317,"""Trying to hatch an egg or catch rare Pokemon?"""
318,pushy
319,"President Trump will have the funding to build the wall, and he already has the authorization to do it"
320,"starting and supporting wars, and siding with despots"
321,Lawrence Phillips
322,Carrer Avinyó
323,Nick Johnson
324,groceries
325,"Solar energy is beating the costs of natural gas plants across the country right now, even the operating costs, and that's not even including"
326,"normally in humans, there are three separate barriers to stop a female from getting pregnant again if she is already pregnant."
327,Colin Quinn
328,Facebook Messenger weaves chatbots with friends
329,fossil
330,two out of five
331,10. Coca-Cola Memorabilia
332,The evacuation of civilians and opposition fighters from eastern Aleppo have been suspended after rebels opened fire on a convoy at one
333,the lost and hidden city of Skara Brae
334,"The Jump, Jade Jones MBE (Taekwondo) and Kadeena Cox MBE"
335,make their own decision
336,"The goal certainly is for him to play 16 games. But hes 36 this season, not 26. Every time he gets hit"
337,Pikachu
338,Whitney Thompson
339,An equation aids in creating a manifestation of the risks of climate change through large-scale and widespread alterations to the planet
340,"""This is a work of fiction. Any similarity to actual persons, living or dead, or actual events, is purely coinciden"
341,"to be fair, there aren't any videos of cats seeing a cucumber from a distance and then walking up to interrogate"
342,diet beverages
343,"""Captain Phillips,"""
344,a black panther creeps up behind him
345,space blanket
346,"To show support for law enforcement, Chick-fil-A has unveiled their ""Back The Blue"" t-shirts"
347,Houston
348,"a card that read, ""Do not open until your 1st disagreement."""
349,Swipe a chip card instead of inserting it into slot
350,Elle cover
351,"No evidence that not washing jeans is hazardous to your health, according to Bernhard Redl, an associate professor in the molecular biology department"
352,"in addition to his seeming inability to control the volume of his speech, the man couldn't stop sniffling"
353,"one tablespoon of coconut oil with a pinch of turmeric to create a paste, brushes her teeth with the blend, lets it sit on her"
354,"It's chock-full of nutrients and electrolytes like potassium, which not only keep you hydrated but also take longer"
355,"Megan Dixon, who went for a job at a new Miller and Carter steakhouse in Leicestershire"
356,Chris Crocker
357,"Men are more likely to have a heart attack after a snowfall, and its probably from the exertion of shove"
358,"Aubrey wrapped in motorcycle gloves, next to a colorful, shiny motorcycle helmet"
359,A number 7 with medium fries and a Coke! Dont know what this is off of the top of your head? A number
360,Minnesota
361,"""If you are dropping off your son's forgotten lunch, books, homework, equipment, etc., please TURN AROUND"
362,"""During our 3rd match during For Fun while playing online using our home wifi network, Smash Bros 4 decided to leave us indefinitely"
363,stealing her jewelry in a move straight out of a Jonathan Swift tale
364,Cecily Strong
365,"1. When it comes to food, you won't just eat any old thing., 2. Because you're partial to"
366,Arizona
367,Airlines rarely follow those recommendations. And the resulting misalignment has to do how they tinker with seat size and seat
368,"Springfield, Oregon"
369,"The entire family was back at the rescue, Norah continued to nurse and bond with her babies  only now, they had a"
370,The company was not against cross-console support and open to the idea of allowing PlayStation 4 players to play online against other consoles.
371,"the canisters Bruce Wayne/Batman used have ""Pb""  the abbreviation for lead in the Periodic"
372,post-micturition convulsion syndrome
373,a gargantuan mile-long asteroid is heading towards Earth and will brush past us in just a matter of hours
374,Do you have any questions for me?
375,"""Dumb British blond fucks 15 million people at once."""
376,Pat Patterson
377,He sees something he doesn't particularly care if it's true or not. Just puts it out there and then he
378,"Yvette Nicole Brown, Losing the voice of Arsenio Hall (and Lopez) means for late-"
379,"Florida, Texas, New York, California"
380,"""Hagrid couldnt produce a Patronus. Its a very difficult spell."""
381,Democrat Jason Kander looks to be running very strongly in the exit polls. That would be a huge pickup for Democrats.
382,intravaginal ejaculation latency time
383,he could not locate the guy sitting right in front of him
384,Fantastic Voyage
385,"BOOM  Portugal, Meadows in the Mountains - Bulgaria, Burning Man"
386,chicken
387,g-spot
388,"Banking on bad movies, ""The twins earned much of their fortune making unintentionally laughable direct-to-video movies"
389,"Klefki, Rotom, Luvdisk, Luvd"
390,"""She is shy and witty, she is nobody's fool, she is a brilliant actress, she is beautiful beyond the dreams"
391,officially endorsed Democratic presidential nominee Hillary Clinton
392,"Trash was littered through the maze of rooms and hallways. The paint was peeling off of every single wall, while some"
393,the country is attempting to move from an economy based on investment in industrial manufacturing to one based on domestic consumption driven by regular Chinese people
394,the plant the dog was chewing on was deadly water hemlock
395,a cleaner was met with a stack of cash when she walked into a hotel room
396,Christopher Suprun
397,"High fat vegan plant based diet (nothing processed) Real whole foods, natural minimal skin care routine"
398,"If anything happens to Assange or the website, a key will go out to unlock the files. There would then be no way to"
399,Richard Belzer
